model_key,model_family,dataset,n,base_accuracy
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,299,0.32441471571906355
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,commonsenseqa,1000,0.223
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,hellaswag,1000,0.258
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,mmlu_all,1000,0.291
falcon3_7b_instruct,Falcon,arc_challenge,299,0.8361204013377926
falcon3_7b_instruct,Falcon,commonsenseqa,1000,0.779
falcon3_7b_instruct,Falcon,hellaswag,1000,0.761
falcon3_7b_instruct,Falcon,mmlu_all,1000,0.608
mistral7b_v03,Mistral,arc_challenge,299,0.7792642140468228
mistral7b_v03,Mistral,commonsenseqa,1000,0.707
mistral7b_v03,Mistral,hellaswag,1000,0.693
mistral7b_v03,Mistral,mmlu_all,1000,0.596
olmo2_7b_instruct,OLMo,arc_challenge,299,0.7357859531772575
olmo2_7b_instruct,OLMo,commonsenseqa,1000,0.731
olmo2_7b_instruct,OLMo,hellaswag,1000,0.628
olmo2_7b_instruct,OLMo,mmlu_all,1000,0.549
qwen25_7b,Qwen,arc_challenge,299,0.8996655518394648
qwen25_7b,Qwen,commonsenseqa,1000,0.824
qwen25_7b,Qwen,hellaswag,1000,0.836
qwen25_7b,Qwen,mmlu_all,1000,0.683
