model,dataset,dataset_display,features_csv,hidden_npz,meta_json,has_hidden
deepseek_r1_qwen7b,arc_challenge,arc_challenge,/kaggle/working/features_normalized/deepseek_r1_qwen7b__arc_challenge___features.csv,/kaggle/working/features_normalized/deepseek_r1_qwen7b__arc_challenge___hidden.npz,,True
deepseek_r1_qwen7b,commonsenseqa,commonsenseqa,/kaggle/working/features_normalized/deepseek_r1_qwen7b__commonsenseqa___features.csv,/kaggle/working/features_normalized/deepseek_r1_qwen7b__commonsenseqa___hidden.npz,,True
deepseek_r1_qwen7b,hellaswag,hellaswag,/kaggle/working/features_normalized/deepseek_r1_qwen7b__hellaswag___features.csv,/kaggle/working/features_normalized/deepseek_r1_qwen7b__hellaswag__hidden.npz,,True
deepseek_r1_qwen7b,mmlu_all,mmlu,/kaggle/working/features_normalized/deepseek_r1_qwen7b__mmlu_all___features.csv,/kaggle/working/features_normalized/deepseek_r1_qwen7b__mmlu_all__hidden_embeddings.npz,,True
falcon3_7b_instruct,arc_challenge,arc_challenge,/kaggle/working/features_normalized/falcon3_7b_instruct__arc_challenge___features.csv,/kaggle/working/features_normalized/falcon3_7b_instruct__arc_challenge__hidden.npz,,True
falcon3_7b_instruct,commonsenseqa,commonsenseqa,/kaggle/working/features_normalized/falcon3_7b_instruct__commonsenseqa___features.csv,/kaggle/working/features_normalized/falcon3_7b_instruct__commonsenseqa__hidden_embeddings.npz,,True
falcon3_7b_instruct,hellaswag,hellaswag,/kaggle/working/features_normalized/falcon3_7b_instruct__hellaswag___features.csv,/kaggle/working/features_normalized/falcon3_7b_instruct__hellaswag__hidden.npz,,True
falcon3_7b_instruct,mmlu_all,mmlu,/kaggle/working/features_normalized/falcon3_7b_instruct__mmlu_all___features.csv,/kaggle/working/features_normalized/falcon3_7b_instruct__mmlu_all__hidden.npz,,True
gemma2_9b_it,arc_challenge,arc_challenge,/kaggle/working/features_normalized/gemma2_9b_it__arc_challenge.features.csv,/kaggle/working/features_normalized/gemma2_9b_it__arc_challenge__hidden.npz,/kaggle/working/features_normalized/gemma2_9b_it__arc_challenge__meta.json,True
gemma2_9b_it,commonsenseqa,commonsenseqa,/kaggle/working/features_normalized/gemma2_9b_it__commonsenseqa.features.csv,/kaggle/working/features_normalized/gemma2_9b_it__commonsenseqa__hidden.npz,/kaggle/working/features_normalized/gemma2_9b_it__commonsenseqa.meta.json,True
gemma2_9b_it,hellaswag,hellaswag,/kaggle/working/features_normalized/gemma2_9b_it__hellaswag.features.csv,/kaggle/working/features_normalized/gemma2_9b_it__hellaswag.hidden.npz,/kaggle/working/features_normalized/gemma2_9b_it__hellaswag.meta.json,True
gemma2_9b_it,mmlu,mmlu,/kaggle/working/features_normalized/gemma2_9b_it__mmlu.features.csv,/kaggle/working/features_normalized/gemma2_9b_it__mmlu.hidden.npz,/kaggle/working/features_normalized/gemma2_9b_it__mmlu__meta.json,True
llama31_8b_instruct,arc_challenge,arc_challenge,/kaggle/working/features_normalized/llama31_8b_instruct__arc_challenge.features.csv,/kaggle/working/features_normalized/llama31_8b_instruct__arc_challenge__hidden.npz,/kaggle/working/features_normalized/llama31_8b_instruct__arc_challenge.meta.json,True
llama31_8b_instruct,commonsenseqa,commonsenseqa,/kaggle/working/features_normalized/llama31_8b_instruct__commonsenseqa.features.csv,/kaggle/working/features_normalized/llama31_8b_instruct__commonsenseqa__hidden.npz,/kaggle/working/features_normalized/llama31_8b_instruct__commonsenseqa.meta.json,True
llama31_8b_instruct,hellaswag,hellaswag,/kaggle/working/features_normalized/llama31_8b_instruct__hellaswag.features.csv,/kaggle/working/features_normalized/llama31_8b_instruct__hellaswag__hidden.npz,/kaggle/working/features_normalized/llama31_8b_instruct__hellaswag__meta.json,True
llama31_8b_instruct,mmlu,mmlu,/kaggle/working/features_normalized/llama31_8b_instruct__mmlu.features.csv,/kaggle/working/features_normalized/llama31_8b_instruct__mmlu__hidden.npz,/kaggle/working/features_normalized/llama31_8b_instruct__mmlu.meta.json,True
llama31_8b_it,agnews,agnews,/kaggle/working/features_normalized/llama31_8b_it__agnews__features.csv,/kaggle/working/features_normalized/llama31_8b_it__agnews__hidden.npz,/kaggle/working/features_normalized/llama31_8b_it__agnews__meta.json,True
llama31_8b_it,dbpedia14,dbpedia14,/kaggle/working/features_normalized/llama31_8b_it__dbpedia14__features.csv,/kaggle/working/features_normalized/llama31_8b_it__dbpedia14__hidden.npz,/kaggle/working/features_normalized/llama31_8b_it__dbpedia14__meta.json,True
